ccle	efo
NCIH2073_LUNG	EFO_0006670
NCIH2081_LUNG	EFO_0002276
NCIH2087_LUNG	EFO_0002277
NCIH209_LUNG	EFO_0006671
NCIH2106_LUNG	EFO_0006672
NCIH2110_LUNG	EFO_0006673
NCIH2122_LUNG	EFO_0002279
NCIH2126_LUNG	EFO_0002280
NCIH2135_LUNG	EFO_0006674
NCIH2170_LUNG	EFO_0002281
NCIH2171_LUNG	EFO_0002282
NCIH2172_LUNG	EFO_0006675
NCIH2196_LUNG	EFO_0006676
NCIH2228_LUNG	EFO_0002284
NCIH226_LUNG	EFO_0002285
NCIH2347_LUNG	EFO_0002287
NCIH2373_PLEURA	EFO_0006679
NCIH23_LUNG	EFO_0002286
NCIH2405_LUNG	EFO_0002288
NCIH2452_PLEURA	EFO_0006680
NCIH2461_PLEURA	EFO_0006681
NCIH2595_PLEURA	EFO_0006682
NCIH2722_PLEURA	EFO_0006684
NCIH2795_PLEURA	EFO_0006685
NCIH2803_PLEURA	EFO_0006687
NCIH2804_PLEURA	EFO_0006688
NCIH2810_PLEURA	EFO_0006689
NCIH28_PLEURA	EFO_0006686
NCIH292_LUNG	EFO_0006690
NCIH322_LUNG	EFO_0006691
NCIH3255_LUNG	EFO_0003123
NCIH345_LUNG	EFO_0006692
NCIH358_LUNG	EFO_0002291
NCIH441_LUNG	EFO_0002292
NCIH446_LUNG	EFO_0002293
NCIH460_LUNG	EFO_0003044
NCIH508_LARGE_INTESTINE	EFO_0002294
NCIH510_LUNG	EFO_0006693
NCIH520_LUNG	EFO_0003124
NCIH522_LUNG	EFO_0002295
NCIH524_LUNG	EFO_0002296
NCIH596_LUNG	EFO_0006694
NCIH630_LARGE_INTESTINE	EFO_0002297
NCIH650_LUNG	EFO_0002298
NCIH661_LUNG	EFO_0002299
NCIH69_LUNG	EFO_0002300
NCIH716_LARGE_INTESTINE	EFO_0002301
NCIH720_LUNG	EFO_0002302
NCIH727_LUNG	EFO_0006695
NCIH747_LARGE_INTESTINE	EFO_0002303
NCIH748_LUNG	EFO_0002304
NCIH810_LUNG	EFO_0002305
NCIH82_LUNG	EFO_0002306
NCIH838_LUNG	EFO_0002307
NCIH847_LUNG	EFO_0006696
